ticker,earnings_date,reaction_1day,reaction_3day,surprise_pct,hedging_pct,forward_looking_pct,readability_score,sentiment_score,market_reaction_1day,market_reaction_3day
JPM,2023-10-13,-0.1,-1.41,9.01,0.79,1.1,56.64603246753251,0.2931,1.06,-0.3
JPM,2023-07-14,2.41,2.99,26.46,0.864,0.794,58.58406642728906,0.2001,0.39,1.34
JPM,2023-04-14,0.79,1.79,21.69,0.804,0.684,61.29496830896469,0.0419,0.33,0.41
JPM,2023-01-13,-1.55,-5.78,15.04,0.966,0.881,65.91923627828601,0.003,-0.2,-2.51
JPM,2022-10-14,4.2,4.78,9.44,0.963,1.262,64.07666502957008,0.0486,2.65,3.13
JPM,2022-07-14,4.58,6.07,-4.76,1.006,0.715,67.79691168800335,-0.0903,1.92,3.86
JPM,2022-04-13,-0.93,3.0,-2.85,0.832,0.756,72.56132554168006,-0.0465,-1.21,0.35
JPM,2022-01-14,-4.19,-6.48,9.73,0.907,0.861,71.20502083432187,0.0,-1.84,-3.86
JPM,2021-10-13,1.53,3.45,18.31,0.841,0.69,68.38512115685396,-0.0241,1.71,2.81
JPM,2021-07-13,-0.34,-2.4,19.08,0.732,0.894,62.77596814180333,0.0345,0.12,-0.96
JPM,2021-04-14,0.63,0.95,49.98,0.58,0.611,69.52218302041841,0.0,1.11,0.94
JPM,2021-01-15,-0.43,-2.75,15.81,0.964,0.978,68.75162811279141,0.0,0.81,2.25
JPM,2020-10-13,-0.56,0.72,38.23,0.562,0.922,69.8977320710631,0.0,-0.66,-0.8
BAC,2024-04-16,1.59,6.6,-1.84,0.489,0.652,63.014724270041256,0.1324,-0.58,-1.67
BAC,2024-01-12,-2.07,-3.26,-45.64,0.588,0.597,59.17082840139372,0.0989,-0.37,-0.06
BAC,2023-10-17,-1.12,-4.74,10.05,0.391,0.43,63.629674362170206,0.0094,-1.34,-3.41
BAC,2023-07-18,2.7,4.17,4.87,0.512,0.664,62.72841799709727,0.169,0.24,-0.41
BAC,2023-04-18,-1.64,-2.26,14.6,0.387,0.443,58.99221352953676,-0.0227,-0.01,-0.51
BAC,2023-01-13,-2.02,-5.68,10.57,0.49,0.535,60.19831782941186,0.0941,-0.2,-2.51
BAC,2022-10-17,3.75,0.24,4.92,0.401,0.473,62.16852318900088,0.2514,1.14,-0.33
BAC,2022-07-18,3.38,4.31,-2.06,0.403,0.459,59.86586072740889,0.17,2.76,4.39
BAC,2022-04-18,1.85,0.15,7.49,0.298,0.503,61.50468209152393,0.0243,1.61,0.04
BAC,2022-01-19,-1.49,-4.07,8.57,0.504,0.632,62.150544756575954,0.1526,-1.1,-2.71
BAC,2021-10-14,2.88,3.13,21.6,0.421,0.516,62.186384736365085,0.1508,0.75,1.83
BAC,2021-07-14,-0.08,-4.97,35.48,0.495,0.477,59.94035694291793,0.2891,-0.33,-2.65
BAC,2021-04-15,1.06,-1.7,32.86,0.544,0.602,60.31991834053,0.0203,0.36,-0.85
BAC,2021-01-19,-1.31,-3.72,9.38,0.548,0.642,61.00716778611184,0.2401,1.39,1.12
BAC,2020-10-14,2.24,0.42,2.39,0.443,0.649,62.68199522027449,-0.0487,-0.15,-1.77
WMT,2025-05-15,1.96,1.5,5.64,0.252,0.535,58.35907125438649,0.3139,0.7,0.4
WMT,2025-02-20,-2.5,0.49,2.04,0.385,0.477,56.01586645731632,0.4486,-1.71,-2.65
WMT,2024-11-19,0.67,4.43,8.84,0.579,1.04,58.327831929955096,0.4326,0.0,0.88
WMT,2024-08-15,0.66,2.15,3.76,0.453,1.057,61.1657533993033,0.4121,0.2,0.97
WMT,2024-05-16,1.0,1.78,14.24,0.428,0.592,59.072254000133626,0.3799,0.12,0.46
WMT,2024-02-20,-1.23,-0.17,9.35,0.506,0.798,58.45827410373522,0.2785,0.13,2.28
WMT,2023-11-16,-0.44,-0.12,0.39,0.676,0.971,61.24754573769329,0.2861,0.13,0.66
WMT,2023-08-17,1.44,0.85,7.88,0.423,0.598,59.32678691819228,0.2731,-0.01,0.39
WMT,2023-05-18,-1.03,-2.09,11.64,0.42,1.016,62.63367564259487,0.214,-0.14,-1.25
WMT,2023-02-21,-2.1,-3.3,12.88,0.45,0.809,61.27689505700404,0.1571,-0.16,-0.68
WMT,2022-11-15,0.72,1.89,13.95,0.523,0.789,61.36227354603898,0.3901,-0.83,-0.66
WMT,2022-08-16,0.11,-1.69,10.02,0.337,0.506,59.929953228166085,0.2711,-0.72,-1.78
WMT,2022-02-17,-0.64,-2.76,2.21,0.326,0.692,57.459660679304335,0.3282,-0.72,-3.53
WMT,2021-11-16,-0.86,-0.54,3.97,0.412,0.874,59.31091489836805,0.2007,-0.26,-0.06
WMT,2021-08-17,-1.06,0.5,13.17,0.389,0.546,57.886265605382846,0.2965,-1.07,-0.14
WMT,2021-05-18,0.01,-0.11,40.06,0.459,0.564,51.6910886083611,0.1756,-0.29,0.68
WMT,2021-02-18,0.49,-1.59,-8.0,0.736,0.815,55.203680943713664,0.078,-0.19,-0.83
WMT,2020-11-17,-0.19,0.58,12.8,0.336,0.584,63.6522745858405,0.1095,-1.16,-1.44
NKE,2025-03-20,-5.46,-7.4,94.87,0.393,1.016,49.89191092274041,-0.2015,0.08,2.01
NKE,2024-12-19,-0.21,-0.4,23.3,0.449,1.048,52.77974561980992,0.1171,1.09,2.95
NKE,2024-10-01,-6.77,-7.72,34.9,0.449,1.048,52.77974561980992,0.1171,0.01,0.74
NKE,2024-06-27,-19.98,-19.27,19.3,0.413,0.93,49.78442630518717,0.2289,-0.41,0.48
NKE,2024-03-21,-6.9,-8.17,7.98,0.447,0.778,48.54990445313388,0.4521,-0.14,-0.72
NKE,2023-12-21,-11.83,-12.57,21.8,0.323,0.789,50.97563524590166,0.3435,0.17,0.73
NKE,2023-09-28,6.68,6.09,24.44,0.362,0.724,50.47411759259015,0.2318,-0.27,-1.63
NKE,2023-06-29,-2.65,-5.53,-2.29,0.534,0.712,51.36425954757763,0.3126,1.23,1.15
NKE,2023-03-21,-4.86,-3.9,46.31,0.56,0.868,47.21122234616786,0.3464,-1.65,-0.8
NKE,2022-12-20,12.18,12.63,33.05,0.666,0.958,47.82084831460676,0.2447,1.49,0.61
NKE,2022-09-29,-12.81,-7.02,0.93,0.397,0.688,48.91648067556056,0.3587,-1.51,4.13
NKE,2022-06-27,-6.99,-7.51,22.99,0.54,0.772,45.04055762171564,0.2442,-2.01,-2.94
NKE,2022-03-21,2.23,1.45,21.41,0.446,0.82,47.36297478447901,0.3985,1.13,1.32
NKE,2021-12-20,6.15,5.54,33.42,0.596,1.075,48.65943323127578,0.5032,1.78,3.45
NKE,2021-09-23,-6.26,-8.95,3.3,0.479,0.776,48.66777978809824,0.2898,0.15,-2.17
NKE,2021-06-24,15.53,16.73,81.29,0.575,0.989,48.79958957721965,0.4304,0.33,0.59
NKE,2021-03-18,-3.97,-4.23,18.46,0.509,1.042,43.86455169813584,0.2964,-0.06,-0.13
NKE,2020-12-18,4.91,3.26,25.29,0.687,1.327,46.87149825459224,0.2415,-0.39,-0.52
NKE,2020-09-22,8.76,6.3,89.67,0.4,0.777,50.96938276047652,0.2981,-2.37,-0.52
UNH,2024-04-16,2.15,6.88,4.44,0.591,0.751,54.7850120554551,0.3771,-0.58,-1.67
UNH,2024-01-12,-0.45,-0.99,2.89,0.645,0.774,56.9856261632176,0.2369,-0.37,-0.06
UNH,2023-10-13,-0.25,-0.62,3.34,0.463,0.836,52.40606877887009,0.2936,1.06,-0.3
UNH,2023-07-14,0.81,4.9,2.68,0.531,0.731,48.14669379918081,0.2657,0.39,1.34
UNH,2023-04-14,-1.26,-5.0,3.03,0.628,0.703,51.627639930034974,0.2711,0.33,0.41
UNH,2023-01-13,-0.92,-1.06,3.22,0.602,0.959,53.21801774513398,0.2201,-0.2,-2.51
UNH,2022-10-14,1.71,1.4,6.5,0.523,0.841,54.50353992504378,0.1754,2.65,3.13
UNH,2022-07-15,-1.96,-1.94,6.94,0.451,1.092,49.823898029286994,0.285,-0.84,2.5
UNH,2022-04-14,-0.14,2.09,2.6,0.558,0.682,53.14413277049687,0.275,-0.02,1.52
UNH,2022-01-19,0.1,-0.05,3.96,0.504,0.801,52.57914633412025,0.2829,-1.1,-2.71
UNH,2021-10-14,1.83,0.96,2.35,0.506,0.666,51.59858199385553,0.1694,0.75,1.83
UNH,2021-07-15,-0.08,-1.69,5.37,0.605,0.922,53.05029369775053,0.1774,-0.75,-0.85
UNH,2021-04-15,0.26,1.67,21.2,0.771,0.584,48.370902705097336,0.2195,0.36,-0.85
UNH,2021-01-20,1.19,-0.86,4.53,0.661,1.04,52.89241196578797,0.2423,0.03,0.09
UNH,2020-10-14,0.85,0.74,13.83,0.574,1.162,49.8432092998643,0.3927,-0.15,-1.77
UNH,2020-07-15,1.01,-0.2,36.0,0.83,0.97,49.20319805587209,0.2387,-0.34,0.78
DIS,2024-08-07,0.0,-0.01,16.38,0.812,0.966,56.72015769114111,0.154,2.3,2.79
DIS,2024-05-07,0.05,0.38,9.8,0.549,1.214,51.66379120879122,0.3609,-0.0,0.67
DIS,2024-02-07,11.5,10.24,18.24,0.738,1.226,47.60964895470386,0.3673,0.06,0.54
DIS,2023-11-08,6.91,5.85,15.11,0.655,1.184,46.37051371338731,0.3405,-0.81,0.66
DIS,2023-08-09,4.88,1.51,6.77,0.753,1.166,46.14202540021995,0.2728,0.03,0.49
DIS,2023-05-10,-8.73,-8.19,-0.91,0.647,1.02,48.4732786885246,0.1309,-0.17,-0.03
DIS,2023-02-08,-1.27,-3.69,25.97,0.675,1.476,48.38593013044755,0.0192,-0.88,0.47
DIS,2022-11-08,-13.16,-4.89,-46.87,0.722,1.322,48.37088570975669,0.1979,-2.08,4.31
DIS,2022-08-10,4.68,10.52,9.99,0.771,1.024,51.95788577118856,0.1902,-0.07,2.06
DIS,2022-05-11,-0.86,-0.03,-9.15,0.714,1.103,52.26358815491898,0.0678,-0.13,1.85
DIS,2022-02-09,3.35,2.46,71.97,0.595,0.851,51.51809527368701,-0.0273,-1.81,-4.04
DIS,2021-08-12,1.0,-1.93,45.48,0.617,0.859,53.47812701820951,0.1532,0.16,-0.29
DIS,2021-05-13,-2.6,-4.86,204.08,0.465,0.775,54.66527064411736,0.1505,1.49,0.37
DIS,2021-02-11,-1.7,-2.34,194.77,0.64,1.124,52.80127178537492,-0.0217,0.47,0.38
DIS,2020-11-12,2.1,6.63,69.3,0.789,1.306,52.78102311405536,0.0428,1.36,2.05
DIS,2020-08-04,8.8,10.78,111.92,0.815,1.187,46.53444055944058,0.0956,0.64,1.35
